Name,Location,Distance,Rate,Grade,Price,Review,TypeRoom,TypeBed,CancellationPolicy,DateOfVacation,SnapShotDate,numOfNights,TimeToTravel
MOXY NYC Times Square,"Manhattan, New York",1.9 km from center,8.0,Very Good,₪ 656,"8,724 reviews",Double Room,1 full bed,Prepayment,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
Park Central,"Manhattan, New York",400 m from center,7.6,Good,₪ 612,"2,594 reviews",King Room - Disability Access,1 queen bed,Prepayment,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
citizenM New York Bowery,"Lower East Side, New York",5.4 km from center,8.8,Excellent,₪ 689,"2,183 reviews",Twin Room,2 bunk beds,FREE cancellation • No prepayment needed,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
Arlo NoMad,"NoMad, New York",2.4 km from center,8.1,Very Good,₪ 620,"2,419 reviews",Queen Room,1 queen bed,Prepayment,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
Hilton Garden Inn New York - Times Square Central,"Manhattan, New York",1.5 km from center,7.6,Good,₪ 656,"1,551 reviews",Deluxe King Studio,"Entire studio • 1 bathroom • 325m²
1 king bed",Prepayment,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
TBA Times Square,"Hell's Kitchen, New York",1.6 km from center,7.5,Good,₪ 776,"8,416 reviews",King Room,1 king bed,Prepayment,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
Grayson Hotel,"Manhattan, New York",1.8 km from center,8.2,Very Good,₪ 546,52 reviews,Bunk Bed Room,1 bunk bed,FREE cancellation • No prepayment needed,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
Pod 39,"Murray Hill, New York",2.1 km from center,8.1,Very Good,₪ 546,"5,995 reviews",Bunk Bed Room,1 bunk bed,FREE cancellation • No prepayment needed,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
Pod 39,"Murray Hill, New York",2.1 km from center,8.1,Very Good,₪ 678,"5,995 reviews",Deluxe Queen Room,1 queen bed,Prepayment,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
Nolitan Hotel SoHo - New York,"SoHo, New York",5.4 km from center,7.9,Good,₪ 656,"1,153 reviews",Executive Queen Room,1 queen bed,FREE cancellation • No prepayment needed,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
Executive Hotel Le Soleil New York,"Manhattan, New York",2 km from center,8.2,Very Good,₪ 690,"2,492 reviews",Deluxe Queen Room,1 queen bed,Prepayment,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
Artezen Hotel,"Wall Street - Financial District, New York",6.9 km from center,9.0,Wonderful,₪ 766,899 reviews,Traditional King Room - Non-Smoking,1 king bed,Prepayment,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
Hotel St. James,"Manhattan, New York",1.2 km from center,7.9,Good,₪ 546,"1,448 reviews","Guest room, 1 King, City view",1 king bed,Prepayment,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
"Crowne Plaza Times Square Manhattan, an IHG Hotel","Manhattan, New York",0.9 km from center,7.7,Good,₪ 583,"1,438 reviews",Standard King Room,1 king bed,FREE cancellation • No prepayment needed,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
Courtyard New York Downtown Manhattan/Financial District,"Wall Street - Financial District, New York",7.1 km from center,7.3,Good,₪ 759,602 reviews,Classic Room,1 queen bed,Prepayment,2023-03-20-2023-03-21,2023-03-19,1 night,1.0
