Name,Location,Distance,Rate,Grade,Price,Review,TypeRoom,TypeBed,CancellationPolicy,DateOfVacation,SnapShotDate,numOfNights,TimeToTravel
Hotel Edison Times Square,"Manhattan, New York",1 km from center,7.3,Good,"₪ 7,576","5,914 reviews",Queen Room,1 queen bed,Prepayment,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
Hampton Inn Manhattan-35th St Empire State Bldg,"Manhattan, New York",2 km from center,8.3,Excellent,"₪ 5,002","1,205 reviews",Queen Studio with Sofa Bed,"2 beds (1 sofa bed, 1 queen)",Prepayment,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
Courtyard New York Downtown Manhattan/Financial District,"Wall Street - Financial District, New York",7.1 km from center,7.3,Good,"₪ 4,856","3,810 reviews",King Room,1 king bed,Prepayment,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
Wingate by Wyndham New York Midtown South/5th Ave,"Manhattan, New York",1.9 km from center,7.9,Very Good,"₪ 4,504",54 reviews,Studio Queen,1 queen bed,Free cancellation,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
"The Draper New York, Tapestry Collection by Hilton","Manhattan, New York",1.9 km from center,8.4,Very Good,"₪ 4,489","2,332 reviews",Superior Queen Room,1 queen bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
Concorde Hotel New York,"Midtown East, New York",1.3 km from center,8.6,Very Good,"₪ 4,241",821 reviews,Standard Room with Two Double Beds,2 full beds,FREE cancellation • No prepayment needed,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
Moxy NYC Chelsea,"Chelsea, New York",2.5 km from center,8.3,Good,"₪ 3,594","4,421 reviews",Deluxe Queen Room,1 queen bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
The Belvedere Hotel,"Hell's Kitchen, New York",0.9 km from center,8.0,Very Good,"₪ 4,267",898 reviews,King Room,1 king bed,Prepayment,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
"Hotel Shocard Broadway, Times Square","Manhattan, New York",1.5 km from center,7.6,Excellent,"₪ 4,876","2,751 reviews",Premium King Room,1 king bed,Prepayment,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
Residence Inn New York Downtown Manhattan/Financial District,"Wall Street - Financial District, New York",7.1 km from center,7.5,Very Good,"₪ 3,811",417 reviews,King Room,1 king bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
Millennium Hotel Broadway Times Square,"Manhattan, New York",1.3 km from center,7.0,Good,"₪ 3,070","8,416 reviews","Studio, 1 King",1 king bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
Motto by Hilton New York City Chelsea,"Chelsea, New York",2.8 km from center,8.8,Very Good,"₪ 4,690",676 reviews,King Room,1 king bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
YOTEL New York Times Square,"Hell's Kitchen, New York",1.5 km from center,7.1,Very Good,"₪ 5,406","5,198 reviews",King Room,1 king bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
SpringHill Suites by Marriott New York Midtown Manhattan/Park Ave,"Flatiron District, New York",3.1 km from center,8.1,Good,"₪ 4,841","5,537 reviews",Premier City View King Bed,1 king bed,Free cancellation,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
"Club Quarters Hotel Grand Central, New York","Midtown East, New York",1.8 km from center,8.0,Excellent,"₪ 5,193",83 reviews,King Room with City View,1 king bed,Prepayment,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
Pestana Park Avenue,"Murray Hill, New York",1.9 km from center,8.5,Very Good,"₪ 4,148","4,132 reviews",1 Queen Bed,1 queen bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
Warwick New York,"Manhattan, New York",0.7 km from center,7.8,Good,"₪ 2,538","2,611 reviews","Guest Room, 1 King",1 king bed,Free cancellation,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
"InterContinental New York Barclay Hotel, an IHG Hotel","Midtown East, New York",1.5 km from center,8.0,Very Good,"₪ 3,183",543 reviews,King Room - Hearing Accessible/Non-Smoking,1 king bed,Prepayment,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
citizenM New York Times Square,"Manhattan, New York",0.8 km from center,8.7,Excellent,"₪ 4,078",829 reviews,1 King Bed,1 king bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
Moxy NYC Downtown,"Wall Street - Financial District, New York",6.7 km from center,8.1,Excellent,"₪ 4,182",533 reviews,Superior Queen Room,1 queen bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
TBA Times Square,"Hell's Kitchen, New York",1.6 km from center,7.5,Good,"₪ 4,076","4,446 reviews",Twin Room - Disability Access/Hearing Accessible,1 queen bed,Prepayment,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
Times Square EDITION New York,"Manhattan, New York",1 km from center,8.5,Excellent,"₪ 4,847",280 reviews,Deluxe King Room,1 king bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
Fairfield Inn & Suites by Marriott New York Manhattan/Times Square South,"Hell's Kitchen, New York",1.9 km from center,8.0,Excellent,"₪ 7,060",711 reviews,Queen Room,1 queen bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
Hilton Garden Inn New York Central Park South-Midtown West,"Manhattan, New York",450 m from center,7.1,Good,"₪ 4,841","1,153 reviews",King Room,1 king bed,Free cancellation,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
"Hotel Indigo NYC Financial District, an IHG Hotel","Wall Street - Financial District, New York",7.2 km from center,8.8,Excellent,"₪ 4,073","2,183 reviews",Superior Room,1 queen bed,Prepayment,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
SpringHill Suites by Marriott New York Manhattan/Times Square South,"Hell's Kitchen, New York",1.9 km from center,8.0,Very Good,"₪ 5,248","1,738 reviews",Studio King Suite with Kitchen,1 king bed,Free cancellation,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
The Evelyn NoMad,"NoMad, New York",2.7 km from center,7.6,Good,"₪ 4,738","5,481 reviews",Deluxe Double Room,2 full beds,Free cancellation,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
Hyatt House New York/Chelsea,"Chelsea, New York",2.5 km from center,8.1,Good,"₪ 5,991",662 reviews,"Guest Room, 1 King, Cozy King",1 king bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
"Hotel 50 Bowery, part of JdV by Hyatt","Chinatown, New York",5.9 km from center,8.6,Review score,"₪ 3,429","4,086 reviews",King Room,1 king bed,Prepayment,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
Omni Berkshire Place,"Midtown East, New York",1.1 km from center,8.7,Very Good,"₪ 4,819","1,276 reviews","Guest room, 2 Double Beds",2 full beds,Prepayment,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
DoubleTree by Hilton New York Times Square South,"Hell's Kitchen, New York",1.8 km from center,7.9,Very Good,"₪ 3,614",867 reviews,Queen Room,1 queen bed,Prepayment,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
33 Seaport Hotel New York,"Wall Street - Financial District, New York",6.9 km from center,8.6,Very Good,"₪ 3,445",733 reviews,Bunk Bed Room,1 bunk bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
Archer Hotel New York,"Manhattan, New York",1.8 km from center,8.7,Very Good,"₪ 5,618",742 reviews,Superior Queen Room,1 queen bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
Nolitan Hotel SoHo - New York,"SoHo, New York",5.4 km from center,7.9,Good,"₪ 3,864","3,603 reviews",King Room,1 queen bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
citizenM New York Bowery,"Lower East Side, New York",5.4 km from center,8.8,Good,"₪ 3,589","1,050 reviews",King Room,1 king bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
Iroquois New York Times Square,"Manhattan, New York",1.4 km from center,8.2,Very Good,"₪ 5,041","3,129 reviews",King Urban,1 king bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
Element Times Square West,"Hell's Kitchen, New York",1.6 km from center,7.5,Very Good,"₪ 5,629","3,969 reviews",Room Type Selected by Hotel,1 full bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
Dream Downtown,"Chelsea, New York",3.4 km from center,7.2,Good,"₪ 3,912","3,023 reviews",King Room,1 king bed,Prepayment,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
The Manhattan at Times Square,"Manhattan, New York",0.7 km from center,5.6,Good,"₪ 3,177","4,124 reviews",Standard Queen Room,1 queen bed,Free cancellation,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
Residence Inn by Marriott New York Manhattan/Central Park,"Manhattan, New York",450 m from center,8.4,Good,"₪ 4,247","1,394 reviews","Traditional, Guest room, 1 Queen",1 queen bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
Hilton Garden Inn New York/Midtown Park Avenue,"Manhattan, New York",2.4 km from center,8.0,Very Good,"₪ 3,858","1,356 reviews",King Studio ADA,1 queen bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
SIXTY SoHo,"SoHo, New York",5.2 km from center,8.2,Very Good,"₪ 6,352",305 reviews,King Studio,"Entire studio • 1 bathroom • 1 kitchen • 20m²
1 king bed",Prepayment,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
The Fifty Sonesta Select New York,"Midtown East, New York",1.6 km from center,8.0,Good,"₪ 3,812",90 reviews,Standard Queen Room,1 queen bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
Aliz Hotel Times Square,"Hell's Kitchen, New York",1.6 km from center,7.8,Very Good,"₪ 5,006","5,995 reviews",King Room,1 king bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
Sixty LES,"Lower East Side, New York",5.2 km from center,7.2,Good,"₪ 4,786","1,201 reviews",Standard Room,,Prepayment,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
Residence Inn by Marriott New York Manhattan/Times Square,"Manhattan, New York",1.7 km from center,8.1,Very Good,"₪ 4,888",330 reviews,King Studio Suite - Hearing Accessible,"Private suite
2 beds (1 king, 1 sofa bed)",Prepayment,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
Fairfield Inn & Suites by Marriott New York Midtown Manhattan/Penn Station,"Hell's Kitchen, New York",2.1 km from center,8.2,Very Good,"₪ 4,236","2,492 reviews","Studio, 1 King",1 king bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
"Holiday Inn Express New York City Chelsea, an IHG Hotel","Chelsea, New York",2.4 km from center,7.9,Excellent,"₪ 3,819","3,036 reviews",Graduate King,1 king bed,Free cancellation,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
Embassy Suites By Hilton New York Manhattan Times Square,"Manhattan, New York",1.9 km from center,7.9,Good,"₪ 2,696","1,109 reviews",Standard Bunk Bed Room with Shared Bathroom,1 bunk bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
Royalton New York,"Manhattan, New York",1.4 km from center,7.6,Very Good,"₪ 4,239",870 reviews,Two Double Beds with City View,2 full beds,Prepayment,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
"InterContinental New York Times Square, an IHG Hotel","Hell's Kitchen, New York",1.2 km from center,8.1,Good,"₪ 5,841","1,204 reviews",King Room with View,1 king bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
SpringHill Suites by Marriott New York Midtown Manhattan/Fifth Avenue,"Manhattan, New York",1.9 km from center,8.3,Good,"₪ 4,410",167 reviews,King Room,1 king bed,Prepayment,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
Hilton New York Times Square,"Manhattan, New York",1.4 km from center,7.9,Good,"₪ 4,171",250 reviews,Standard King Room,1 king bed,Prepayment,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
Pod 39,"Murray Hill, New York",2.1 km from center,8.1,Very Good,"₪ 4,571","1,443 reviews",Standard Queen Room,1 queen bed,Prepayment,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
Hyatt Grand Central New York,"Midtown East, New York",1.9 km from center,7.3,Very Good,"₪ 6,780","2,934 reviews","Mega Guest Room, Larger Guest room, 1 King",1 king bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
Lotte New York Palace,"Midtown East, New York",1.3 km from center,8.1,Good,"₪ 4,251","7,063 reviews",Leisure King Room - Non-Smoking,1 king bed,Prepayment,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
Executive Hotel Le Soleil New York,"Manhattan, New York",2 km from center,8.2,Very Good,"₪ 4,393",764 reviews,King Studio,"Entire studio • 1 bathroom • 18m²
1 king bed",FREE cancellation • No prepayment needed,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
Arlo Midtown,"Hell's Kitchen, New York",1.7 km from center,8.7,Very Good,"₪ 3,990",623 reviews,Queen Studio - Disability Access,1 queen bed,Prepayment,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
Aloft Manhattan Downtown - Financial District,"Wall Street - Financial District, New York",6.8 km from center,7.5,Good,"₪ 3,849","14,189 reviews",One King Bed Hearing Accessible,1 king bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
The Moore,"Chelsea, New York",3 km from center,8.5,Very Good,"₪ 4,272","1,324 reviews",King Room,1 king bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
The Time New York,"Manhattan, New York",0.8 km from center,7.5,Good,"₪ 4,239",587 reviews,King Room,1 king bed,Prepayment,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
W New York - Union Square,"Union Square, New York",3.5 km from center,7.6,Good,"₪ 5,153","1,326 reviews",King Room,1 king bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
Hyatt Union Square New York,"Union Square, New York",3.9 km from center,7.7,Good,"₪ 4,511","2,917 reviews",Executive Queen Suite,"Private suite
1 queen bed",FREE cancellation • No prepayment needed,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
Courtyard New York Manhattan/Times Square,"Manhattan, New York",1.6 km from center,8.2,Very Good,"₪ 4,563","2,137 reviews",Queen Room with City View,1 queen bed,Prepayment,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
Hilton Garden Inn NYC Financial Center/Manhattan Downtown,"Wall Street - Financial District, New York",7.7 km from center,8.5,Good,"₪ 2,789","1,875 reviews",SoHo King,1 king bed,FREE cancellation • No prepayment needed,2023-03-23-2023-03-28,2023-03-19,5 nights,4.0
Pod 51,"Midtown East, New York",1.7 km from center,7.8,Good,₪ 900,"2,380 reviews",Superior Room,1 queen bed,Prepayment,2023-03-24-2023-03-25,2023-03-19,1 night,5.0
WestHouse Hotel New York,"Manhattan, New York",400 m from center,8.2,Very Good,"₪ 1,045",582 reviews,Deluxe Queen Room,1 queen bed,FREE cancellation • No prepayment needed,2023-03-24-2023-03-25,2023-03-19,1 night,5.0
"Crowne Plaza HY36 Midtown Manhattan, an IHG Hotel","Hell's Kitchen, New York",1.9 km from center,8.5,Very Good,₪ 730,821 reviews,Bunk Pod,2 twin beds,FREE cancellation • No prepayment needed,2023-03-24-2023-03-25,2023-03-19,1 night,5.0
Doubletree By Hilton New York Times Square West,"Hell's Kitchen, New York",1.6 km from center,7.0,Very Good,₪ 896,"1,738 reviews",Suite,"Private suite • 1 bedroom • 1 living room • 1 bathroom • 28m²
1 king bed",Free cancellation,2023-03-24-2023-03-25,2023-03-19,1 night,5.0
Renaissance New York Times Square Hotel,"Manhattan, New York",1 km from center,8.5,Very Good,₪ 888,"12,866 reviews",Double Room,1 king bed,Free cancellation,2023-03-24-2023-03-25,2023-03-19,1 night,5.0
The Benjamin Royal Sonesta New York,"Midtown East, New York",1.5 km from center,7.6,Very Good,₪ 452,"2,415 reviews",Bunk Bed Room with Shared Bathroom,1 bunk bed,Prepayment,2023-03-24-2023-03-25,2023-03-19,1 night,5.0
Ink 48 Hotel,"Hell's Kitchen, New York",1.2 km from center,7.9,Good,"₪ 1,009","2,184 reviews",King or Queen Room with City View,1 queen bed,Prepayment,2023-03-24-2023-03-25,2023-03-19,1 night,5.0
Citadines Connect Fifth Avenue New York,"Manhattan, New York",1.4 km from center,7.7,Very Good,"₪ 1,009","8,724 reviews",King Studio with Kitchenette,"Entire studio • 1 bathroom • 19m²
1 king bed",Prepayment,2023-03-24-2023-03-25,2023-03-19,1 night,5.0
Graduate New York,New York,2.6 km from center,8.5,Very Good,"₪ 1,012","6,667 reviews",Deluxe King,1 king bed,FREE cancellation • No prepayment needed,2023-03-24-2023-03-25,2023-03-19,1 night,5.0
Four Points by Sheraton Midtown - Times Square,"Hell's Kitchen, New York",1.6 km from center,7.7,Good,₪ 876,"9,014 reviews",King Room with City View,1 king bed,FREE cancellation • No prepayment needed,2023-03-24-2023-03-25,2023-03-19,1 night,5.0
Square Hotel at Times Square,"Manhattan, New York",0.8 km from center,7.0,Very Good,"₪ 1,097","3,927 reviews",King Room,1 king bed,FREE cancellation • No prepayment needed,2023-03-24-2023-03-25,2023-03-19,1 night,5.0
"Martinique New York on Broadway, Curio Collection by Hilton","Manhattan, New York",2.3 km from center,8.1,Good,₪ 876,"2,275 reviews",Double Room,1 full bed,FREE cancellation • No prepayment needed,2023-03-24-2023-03-25,2023-03-19,1 night,5.0
Pestana Park Avenue,"Murray Hill, New York",1.9 km from center,8.5,Good,"₪ 1,463","2,668 reviews",Queen Room,1 queen bed,Prepayment,2023-03-24-2023-03-25,2023-03-19,1 night,5.0
"The Standard, High Line New York","Greenwich Village, New York",3.7 km from center,8.1,Very Good,"₪ 1,264",580 reviews,King Studio,"Entire studio • 1 bathroom • 33m²
1 king bed",FREE cancellation • No prepayment needed,2023-03-24-2023-03-25,2023-03-19,1 night,5.0
Pod Times Square,"Hell's Kitchen, New York",1.4 km from center,8.1,Very Good,₪ 897,"3,331 reviews",King Room with City View,1 king bed,FREE cancellation • No prepayment needed,2023-03-24-2023-03-25,2023-03-19,1 night,5.0
TownePlace Suites by Marriott New York Manhattan/Chelsea,"Chelsea, New York",2.5 km from center,8.1,Very Good,"₪ 1,243","1,233 reviews",Social City View King,1 king bed,FREE cancellation • No prepayment needed,2023-03-24-2023-03-25,2023-03-19,1 night,5.0
Hilton Garden Inn Times Square,"Manhattan, New York",0.9 km from center,7.5,Good,₪ 987,"1,047 reviews",Double Room,1 queen bed,Free cancellation,2023-03-24-2023-03-25,2023-03-19,1 night,5.0
MOXY NYC Times Square,"Manhattan, New York",1.9 km from center,8.0,Good,₪ 888,602 reviews,Superior Queen Room,1 queen bed,Prepayment,2023-03-24-2023-03-25,2023-03-19,1 night,5.0
Hyatt Place NYC Chelsea,"Chelsea, New York",2.8 km from center,8.0,Good,₪ 901,"15,112 reviews",King Room - Hearing Access/Non-Smoking,1 king bed,Prepayment,2023-03-24-2023-03-25,2023-03-19,1 night,5.0
"The New Yorker, A Wyndham Hotel","Hell's Kitchen, New York",2 km from center,7.7,Wonderful,₪ 840,899 reviews,Classic King Room,1 king bed,FREE cancellation • No prepayment needed,2023-03-24-2023-03-25,2023-03-19,1 night,5.0
SpringHill Suites by Marriott New York Manhattan Chelsea,"Chelsea, New York",2.5 km from center,8.2,Good,₪ 795,523 reviews,King Room,1 king bed,Prepayment,2023-03-24-2023-03-25,2023-03-19,1 night,5.0
Fairfield Inn by Marriott New York Manhattan/Financial District,"Wall Street - Financial District, New York",7.2 km from center,7.5,Good,"₪ 1,074","3,629 reviews",King Room,1 king bed,FREE cancellation • No prepayment needed,2023-03-24-2023-03-25,2023-03-19,1 night,5.0
Hampton Inn Manhattan Times Square North,"Hell's Kitchen, New York",0.6 km from center,7.8,Good,₪ 957,"1,711 reviews",Standard Queen Room,1 queen bed,FREE cancellation • No prepayment needed,2023-03-24-2023-03-25,2023-03-19,1 night,5.0
The Cloud One New York-Downtown,"Wall Street - Financial District, New York",7 km from center,8.2,Good,"₪ 1,042","11,099 reviews",King Room,"Private suite
1 king bed",Prepayment,2023-03-24-2023-03-25,2023-03-19,1 night,5.0
Courtyard by Marriott New York Manhattan/Central Park,"Manhattan, New York",450 m from center,8.2,Very Good,₪ 987,52 reviews,Signature 1 Queen Bed,1 queen bed,FREE cancellation • No prepayment needed,2023-03-24-2023-03-25,2023-03-19,1 night,5.0
CIVILIAN Hotel,"Hell's Kitchen, New York",0.9 km from center,8.5,Very Good,₪ 895,"3,455 reviews",Premier Room,1 queen bed,Prepayment,2023-03-24-2023-03-25,2023-03-19,1 night,5.0
Fairfield Inn & Suites by Marriott New York Manhattan/Central Park,"Hell's Kitchen, New York",0.7 km from center,7.9,Good,"₪ 1,073",537 reviews,King Room,1 king bed,FREE cancellation • No prepayment needed,2023-03-24-2023-03-25,2023-03-19,1 night,5.0
Courtyard New York Downtown Manhattan/Financial District,"Wall Street - Financial District, New York",7.1 km from center,7.3,Very Good,"₪ 1,053","5,630 reviews",Classic Room,1 queen bed,Prepayment,2023-03-24-2023-03-25,2023-03-19,1 night,5.0
Hyatt Place New York City/Times Square,"Hell's Kitchen, New York",1.7 km from center,7.6,Very Good,"₪ 1,060","3,723 reviews",King Room,1 king bed,Free cancellation,2023-03-24-2023-03-25,2023-03-19,1 night,5.0
Artezen Hotel,"Wall Street - Financial District, New York",6.9 km from center,9.0,Good,₪ 910,"1,057 reviews",King Room,1 king bed,FREE cancellation • No prepayment needed,2023-03-24-2023-03-25,2023-03-19,1 night,5.0
Sofitel New York,"Manhattan, New York",1.4 km from center,7.5,Very Good,₪ 916,"1,738 reviews",Double Room,1 full bed,FREE cancellation • No prepayment needed,2023-03-24-2023-03-25,2023-03-19,1 night,5.0
Millennium Downtown New York,"Wall Street - Financial District, New York",6.8 km from center,7.3,Good,₪ 963,"5,914 reviews",Deluxe King Room,1 king bed,FREE cancellation • No prepayment needed,2023-03-24-2023-03-25,2023-03-19,1 night,5.0
U Hotel Fifth Avenue I Empire State Building,"Manhattan, New York",2.1 km from center,7.9,Excellent,₪ 835,829 reviews,Den Guestroom with King Bed,1 king bed,Free cancellation,2023-03-24-2023-03-25,2023-03-19,1 night,5.0
Hotel Edison Times Square,"Manhattan, New York",1 km from center,7.3,Good,₪ 994,"1,438 reviews",Queen Studio with Sofa Bed,"2 beds (1 sofa bed, 1 queen)",Prepayment,2023-03-24-2023-03-25,2023-03-19,1 night,5.0
Grayson Hotel,"Manhattan, New York",1.8 km from center,8.2,Good,"₪ 1,244","3,810 reviews","Spectacular Guest Room, Guest room, 1 King, Park view",1 king bed,Prepayment,2023-03-24-2023-03-25,2023-03-19,1 night,5.0
Hampton Inn Manhattan-35th St Empire State Bldg,"Manhattan, New York",2 km from center,8.3,Good,₪ 900,"1,505 reviews",Superior Room,1 queen bed,Prepayment,2023-03-24-2023-03-25,2023-03-19,1 night,5.0
NoMo SoHo,"SoHo, New York",5.6 km from center,7.3,Excellent,₪ 851,"2,397 reviews",Standard Queen Room,1 queen bed,FREE cancellation • No prepayment needed,2023-03-24-2023-03-25,2023-03-19,1 night,5.0
M Social Hotel Times Square New York,"Manhattan, New York",0.6 km from center,8.4,Good,"₪ 1,170","8,416 reviews",King Room,1 king bed,FREE cancellation • No prepayment needed,2023-03-24-2023-03-25,2023-03-19,1 night,5.0
Moxy NYC Chelsea,"Chelsea, New York",2.5 km from center,8.3,Very Good,"₪ 1,350",489 reviews,King Studio,"Entire studio • 1 bathroom • 1 kitchen • 20m²
1 king bed",Prepayment,2023-03-24-2023-03-25,2023-03-19,1 night,5.0
"Hotel Shocard Broadway, Times Square","Manhattan, New York",1.5 km from center,7.6,Very Good,₪ 854,"3,129 reviews",Superior Queen Room,1 queen bed,FREE cancellation • No prepayment needed,2023-03-24-2023-03-25,2023-03-19,1 night,5.0
Iroquois New York Times Square,"Manhattan, New York",1.4 km from center,8.2,Very Good,₪ 954,"1,029 reviews",Deluxe King Room,1 king bed,Prepayment,2023-03-24-2023-03-25,2023-03-19,1 night,5.0
Millennium Hotel Broadway Times Square,"Manhattan, New York",1.3 km from center,7.0,Very Good,₪ 759,870 reviews,Classic King Room,1 king bed,Prepayment,2023-03-24-2023-03-25,2023-03-19,1 night,5.0
"Hotel 50 Bowery, part of JdV by Hyatt","Chinatown, New York",5.9 km from center,8.6,Very Good,"₪ 1,834",972 reviews,Superior Room with King Bed,1 king bed,FREE cancellation • No prepayment needed,2023-03-24-2023-03-25,2023-03-19,1 night,5.0
"Crowne Plaza Times Square Manhattan, an IHG Hotel","Manhattan, New York",0.9 km from center,7.7,Very Good,"₪ 1,097","3,687 reviews",King Room,1 king bed,FREE cancellation • No prepayment needed,2023-03-24-2023-03-25,2023-03-19,1 night,5.0
YOTEL New York Times Square,"Hell's Kitchen, New York",1.5 km from center,7.1,Good,₪ 862,"1,153 reviews",King Room,1 king bed,Prepayment,2023-03-24-2023-03-25,2023-03-19,1 night,5.0
Wingate by Wyndham New York Midtown South/5th Ave,"Manhattan, New York",1.9 km from center,7.9,Good,₪ 851,90 reviews,Small Queen Room,1 queen bed,Prepayment,2023-03-24-2023-03-25,2023-03-19,1 night,5.0
Park Terrace Hotel,"Manhattan, New York",1.7 km from center,8.7,Very Good,₪ 901,898 reviews,King Room,1 queen bed,Prepayment,2023-03-24-2023-03-25,2023-03-19,1 night,5.0
TBA Times Square,"Hell's Kitchen, New York",1.6 km from center,7.5,Good,"₪ 1,060","4,446 reviews",Standard Queen Room,1 queen bed,FREE cancellation • No prepayment needed,2023-03-24-2023-03-25,2023-03-19,1 night,5.0
1 Hotel Central Park,"Manhattan, New York",0.6 km from center,8.4,Good,"₪ 1,020",348 reviews,Standard Queen Room,1 queen bed,Prepayment,2023-03-24-2023-03-25,2023-03-19,1 night,5.0
Residence Inn by Marriott New York Manhattan/Times Square,"Manhattan, New York",1.7 km from center,8.1,Excellent,"₪ 1,082","1,205 reviews",Premier City View King Bed,1 king bed,Free cancellation,2023-03-24-2023-03-25,2023-03-19,1 night,5.0
"The Draper New York, Tapestry Collection by Hilton","Manhattan, New York",1.9 km from center,8.4,Very Good,₪ 870,"3,969 reviews","Studio, 1 King",1 king bed,Prepayment,2023-03-24-2023-03-25,2023-03-19,1 night,5.0
The Moore,"Chelsea, New York",3 km from center,8.5,Good,₪ 954,"4,421 reviews",Standard Double Room,1 full bed,FREE cancellation • No prepayment needed,2023-03-24-2023-03-25,2023-03-19,1 night,5.0
Royalton Park Avenue,"NoMad, New York",2.7 km from center,8.2,Very Good,"₪ 1,082","2,332 reviews",Superior Queen Room,1 queen bed,FREE cancellation • No prepayment needed,2023-03-24-2023-03-25,2023-03-19,1 night,5.0
The Belvedere Hotel,"Hell's Kitchen, New York",0.9 km from center,8.0,Good,₪ 994,"5,537 reviews",Mobility Accessible Standard Room,1 queen bed,Prepayment,2023-03-24-2023-03-25,2023-03-19,1 night,5.0
