Name,Location,Distance,Rate,Grade,Price,Review,TypeRoom,TypeBed,CancellationPolicy,DateOfVacation,SnapShotDate,numOfNights,TimeToTravel
Graduate New York,New York,2.6 km from center,8.5,Very Good,₪ 608,"2,162 reviews",Graduate King - Accessible,1 king bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Margaritaville Resort Times Square,"Manhattan, New York",1.5 km from center,8.8,Excellent,₪ 643,"1,470 reviews",Standard Queen Room,1 queen bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
The Tillary Hotel Brooklyn,"Downtown Brooklyn, Brooklyn",8 km from center,7.5,Good,₪ 450,224 reviews,Queen Room,1 queen bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Pod Brooklyn,"Williamsburg, Brooklyn",6.2 km from center,8.2,Very Good,₪ 392,"2,883 reviews",Queen Pod,1 queen bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Hyatt House Jersey City,Jersey City,7.3 km from center,8.2,Very Good,₪ 702,"1,532 reviews",King Room,1 king bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Holland Hotel Free Parking Jersey City,Jersey City,6.5 km from center,8.3,Very Good,₪ 443,965 reviews,Standard Double Room,,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Pod Times Square,"Hell's Kitchen, New York",1.4 km from center,8.1,Very Good,₪ 392,"13,012 reviews",Bunk Pod,2 twin beds,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Sheraton Brooklyn New York,"Downtown Brooklyn, Brooklyn",8.5 km from center,7.1,Good,₪ 521,"1,815 reviews","Guest room, 2 Double",2 full beds,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
The Herald 8 by LuxUrban,"Manhattan, New York",2 km from center,7.8,Good,₪ 544,"2,389 reviews",Suite,"Private suite • 1 bedroom • 1 living room • 1 bathroom • 28m²
1 king bed",Free cancellation,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Penny Williamsburg,"Williamsburg, Brooklyn",6.3 km from center,8.8,Excellent,₪ 501,480 reviews,Queen,1 queen bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Hampton Inn Manhattan Times Square North,"Hell's Kitchen, New York",0.6 km from center,7.8,Good,₪ 500,"2,687 reviews",Queen Room,1 queen bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Sonesta Simply Suites Jersey City,Jersey City,6.8 km from center,8.5,Very Good,₪ 637,656 reviews,Queen Studio Suite with Bathtub - Mobility Accessible,1 queen bed,FREE cancellation • No prepayment needed,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
The Cloud One New York-Downtown,"Wall Street - Financial District, New York",7 km from center,8.2,Very Good,₪ 607,652 reviews,Standard King Room,1 king bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
The Tuscany Powered by LuxUrban,"Murray Hill, New York",2.1 km from center,7.8,Good,₪ 628,132 reviews,Studio,1 king bed,Free cancellation,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
"The New Yorker, A Wyndham Hotel","Hell's Kitchen, New York",2 km from center,7.7,Good,₪ 464,"9,086 reviews",Standard Queen Room,1 queen bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
The Belvedere Hotel,"Hell's Kitchen, New York",0.9 km from center,8.1,Very Good,₪ 464,"3,720 reviews",Standard King Room,1 king bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
TownePlace Suites by Marriott New York Manhattan/Chelsea,"Chelsea, New York",2.5 km from center,8.1,Very Good,₪ 679,"2,466 reviews",King Studio with Kitchenette,"Entire studio • 1 bathroom • 19m²
1 king bed",FREE cancellation • No prepayment needed,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Hilton Garden Inn Times Square,"Manhattan, New York",0.9 km from center,7.5,Good,₪ 607,"2,195 reviews",Corner King Room,1 king bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
City Club Hotel,"Manhattan, New York",1.4 km from center,7.3,Good,₪ 353,"1,266 reviews",Petite Room,1 full bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Ravel Hotel Trademark Collection by Wyndham,"Long Island City, Queens",3.2 km from center,7.8,Good,₪ 553,"2,903 reviews",Deluxe King Room,1 king bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
West Side YMCA,"Upper West Side, New York",350 m from center,6.6,Review score,₪ 403,"7,615 reviews",Bunk Bed Room with Shared Bathroom,1 bunk bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
SpringHill Suites by Marriott New York Midtown Manhattan/Park Ave,"Flatiron District, New York",3.1 km from center,8.1,Very Good,₪ 715,54 reviews,"Studio, 1 King",1 king bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
"Hotel Shocard Broadway, Times Square","Manhattan, New York",1.5 km from center,7.6,Good,₪ 395,"1,071 reviews",Standard Double Room,1 full bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Park Central,"Manhattan, New York",400 m from center,7.6,Good,₪ 485,"2,610 reviews",King Room with Roll-In Shower - Disability Access,1 queen bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Hotel Edison Times Square,"Manhattan, New York",1 km from center,7.3,Good,₪ 514,"11,137 reviews",Classic 1 King Bed,1 king bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Hotel Edison Times Square,"Manhattan, New York",1 km from center,7.3,Good,₪ 514,"11,137 reviews",Classic 1 King Bed,1 king bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
The FIDI Hotel,"Wall Street - Financial District, New York",7.6 km from center,8.9,Excellent,₪ 500,23 reviews,Superior King,1 king bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Hyatt Place New York City/Times Square,"Hell's Kitchen, New York",1.7 km from center,7.6,Good,₪ 643,"15,246 reviews",King Room,1 king bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Hyatt Regency Jersey City,Jersey City,7.1 km from center,8.0,Very Good,"₪ 1,075",889 reviews,King Room,1 king bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
SpringHill Suites by Marriott New York Manhattan Chelsea,"Chelsea, New York",2.5 km from center,8.2,Very Good,₪ 577,"4,012 reviews",King Room,"Private suite
1 king bed",FREE cancellation • No prepayment needed,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Hilton Garden Inn New York Central Park South-Midtown West,"Manhattan, New York",450 m from center,7.1,Good,₪ 676,"5,583 reviews",King Room with Roll-In Shower - Disability Access,1 king bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
CIVILIAN Hotel,"Hell's Kitchen, New York",0.9 km from center,8.5,Very Good,₪ 715,"1,273 reviews",Double Room,1 queen bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Millennium Hotel Broadway Times Square,"Manhattan, New York",1.3 km from center,7.0,Good,₪ 492,"5,952 reviews",Standard King Room,1 king bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Hampton Inn Brooklyn Downtown,"Downtown Brooklyn, Brooklyn",8.1 km from center,8.4,Very Good,₪ 643,"1,807 reviews",1 King with Fridge - Non-Smoking,1 king bed,FREE cancellation • No prepayment needed,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Millennium Downtown New York,"Wall Street - Financial District, New York",6.8 km from center,7.3,Good,₪ 514,"3,670 reviews",Queen Room with Roll-In Shower - Disability Access,1 queen bed,FREE cancellation • No prepayment needed,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
"The Draper New York, Tapestry Collection by Hilton","Manhattan, New York",1.9 km from center,8.4,Very Good,₪ 697,"1,041 reviews",King Room with Bath Tub - Mobility/Hearing Access,1 king bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Fairfield Inn by Marriott New York Manhattan/Financial District,"Wall Street - Financial District, New York",7.2 km from center,7.5,Good,₪ 464,"2,300 reviews",King Room,1 king bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
TBA Times Square,"Hell's Kitchen, New York",1.6 km from center,7.5,Good,₪ 514,"8,541 reviews",Deluxe Double Room (2 Adults + 1 Child),2 full beds,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
M Social Hotel Times Square New York,"Manhattan, New York",0.6 km from center,8.4,Very Good,₪ 751,"5,688 reviews",Social City View King,1 king bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
U Hotel Fifth Avenue I Empire State Building,"Manhattan, New York",2.1 km from center,7.9,Good,₪ 539,"1,739 reviews",Queen Room,1 queen bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Hilton Garden Inn New York - Times Square Central,"Manhattan, New York",1.5 km from center,7.6,Good,₪ 571,"1,574 reviews",Queen Room with City View,1 queen bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Artezen Hotel,"Wall Street - Financial District, New York",6.9 km from center,9.0,Wonderful,₪ 547,907 reviews,Deluxe King Room,1 king bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Wyndham Garden Long Island City,"Long Island City, Queens",3.2 km from center,7.5,Good,₪ 504,695 reviews,Standard King Room - ADA,1 queen bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Canopy By Hilton Jersey City Arts District,"Downtown Jersey City, Jersey City",7.3 km from center,8.9,Excellent,₪ 931,669 reviews,Queen Room with Two Queen Beds,2 queen beds,FREE cancellation • No prepayment needed,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Nolitan Hotel SoHo - New York,"SoHo, New York",5.4 km from center,7.9,Good,₪ 652,"1,155 reviews",Deluxe Queen Room,1 queen bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
YOTEL New York Times Square,"Hell's Kitchen, New York",1.5 km from center,7.1,Good,₪ 541,"3,830 reviews",Premium Queen,1 queen bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
"Crowne Plaza Times Square Manhattan, an IHG Hotel","Manhattan, New York",0.9 km from center,7.7,Good,₪ 715,"1,498 reviews",Traditional King Room - Non-Smoking,1 king bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
The Manhattan at Times Square,"Manhattan, New York",0.7 km from center,5.6,Review score,₪ 299,"4,145 reviews",Run of House,1 full bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Courtyard New York Downtown Manhattan/Financial District,"Wall Street - Financial District, New York",7.1 km from center,7.3,Good,₪ 428,617 reviews,"Guest room, 1 King, City view",1 king bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Hotel 32 32,"Manhattan, New York",2.4 km from center,6.8,Review score,₪ 566,745 reviews,Double Studio with balcony,"Entire studio • 1 bathroom • 35m²
1 full bed",Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
"The Historic Blue Angel Hotel Lexington Ave, Ascend Hotel Collection","Midtown East, New York",1.5 km from center,8.7,Excellent,₪ 444,522 reviews,Interior Room - No Windows,1 full bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Fairfield Inn & Suites by Marriott New York Midtown Manhattan/Penn Station,"Hell's Kitchen, New York",2.1 km from center,8.2,Very Good,₪ 719,"3,996 reviews",King Room,1 king bed,FREE cancellation • No prepayment needed,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Pod 51,"Midtown East, New York",1.7 km from center,7.8,Good,₪ 428,"7,129 reviews",Standard Bunk Bed Room with Shared Bathroom,1 bunk bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
citizenM New York Times Square,"Manhattan, New York",0.8 km from center,8.7,Excellent,₪ 715,"2,762 reviews",King Room,1 king bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
