Name,Location,Distance,Rate,Grade,Price,Review,TypeRoom,TypeBed,CancellationPolicy,DateOfVacation,SnapShotDate,numOfNights,TimeToTravel
Hilton Garden Inn New York/Midtown Park Avenue,"Manhattan, New York",2.4 km from center,8.0,Very Good,₪ 575,874 reviews,King Room,1 king bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
"Holiday Inn Express & Suites Jersey City - Holland Tunnel, an IHG Hotel",Jersey City,6.4 km from center,8.2,Very Good,₪ 521,"1,296 reviews",Standard Room,,FREE cancellation • No prepayment needed,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Pod 39,"Murray Hill, New York",2.1 km from center,8.1,Very Good,₪ 500,"6,069 reviews",Double Room,1 full bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Courtyard By Marriott Jersey City Newport,"Newport, Jersey City",6.3 km from center,8.3,Very Good,"₪ 1,057",418 reviews,Newly Redesigned Queen Room with Two Queen Beds and Adapted Tub - Mobility and Hearing Accessible,2 queen beds,FREE cancellation • No prepayment needed,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Grayson Hotel,"Manhattan, New York",1.8 km from center,8.3,Very Good,₪ 687,64 reviews,King Room,1 king bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Element Times Square West,"Hell's Kitchen, New York",1.6 km from center,7.5,Good,₪ 607,"5,534 reviews","Guest Room, 1 King",1 king bed,FREE cancellation • No prepayment needed,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
SoHo 54,"SoHo, New York",5.3 km from center,6.8,Review score,₪ 392,"1,570 reviews",TriBeCa King,1 king bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Riu Plaza Manhattan Times Square,"Manhattan, New York",1 km from center,8.6,Excellent,₪ 749,"6,754 reviews",Deluxe King,1 king bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Fairfield Inn & Suites by Marriott New York Manhattan/Central Park,"Hell's Kitchen, New York",0.7 km from center,7.9,Good,₪ 679,"1,048 reviews",King Room,1 king bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
citizenM New York Bowery,"Lower East Side, New York",5.4 km from center,8.8,Excellent,₪ 655,"2,196 reviews",King Room,1 king bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
"Marriott Vacation Club Pulse, New York City","Manhattan, New York",1.9 km from center,8.9,Excellent,₪ 931,126 reviews,King Room,1 king bed,FREE cancellation • No prepayment needed,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Royalton New York,"Manhattan, New York",1.4 km from center,7.6,Good,₪ 895,"1,406 reviews",Standard Queen Room,1 queen bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
"Club Quarters Hotel Times Square, New York","Manhattan, New York",1.3 km from center,7.8,Good,₪ 679,"2,549 reviews",Standard Queen Room,1 queen bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Wingate by Wyndham New York Midtown South/5th Ave,"Manhattan, New York",1.9 km from center,7.9,Good,₪ 577,"1,519 reviews",King Room with Roll-In Shower - Mobility/Hearing Accessible - Non-Smoking,1 king bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
DoubleTree by Hilton Hotel & Suites Jersey City,Jersey City,6.8 km from center,8.6,Excellent,₪ 859,382 reviews,Junior Double Suite,"Private suite
3 beds (2 fulls, 1 sofa bed)",Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Warwick New York,"Manhattan, New York",0.7 km from center,7.8,Good,₪ 809,"4,443 reviews",Premier King Bed,1 king bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Hilton Brooklyn New York,"Boerum Hill, Brooklyn",8.8 km from center,8.2,Very Good,₪ 751,733 reviews,Queen Room with Two Queen Beds,2 queen beds,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Empire Hotel,"Upper West Side, New York",400 m from center,6.8,Review score,₪ 563,"2,546 reviews",Superior King Room,1 king bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Executive Hotel Le Soleil New York,"Manhattan, New York",2 km from center,8.2,Very Good,₪ 643,"2,510 reviews",Executive Queen Room,1 queen bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Dream Midtown,"Manhattan, New York",400 m from center,7.5,Good,₪ 632,669 reviews,Queen Room,1 queen bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
The Time New York,"Manhattan, New York",0.8 km from center,7.5,Good,₪ 563,"1,220 reviews",Petite Full Room,1 full bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Hotel Indigo Lower East Side New York,"Lower East Side, New York",5.2 km from center,7.6,Good,₪ 679,733 reviews,Queen Room,1 queen bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Radio City Apartments,"Manhattan, New York",0.9 km from center,8.5,Very Good,₪ 500,"3,835 reviews",Queen Studio,1 queen bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Hotel St. James,"Manhattan, New York",1.2 km from center,7.9,Good,₪ 501,"1,461 reviews",Partner offer option,,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Lex Hotel NYC,"Kips Bay, New York",3 km from center,8.1,Very Good,₪ 571,604 reviews,Queen Room,1 queen bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
TownePlace Suites by Marriott New York Manhattan/Times Square,"Hell's Kitchen, New York",1.2 km from center,8.2,Very Good,₪ 607,"1,467 reviews",Queen Studio,"Entire studio • 1 bathroom • 25m²
1 queen bed",Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Hyatt Place Long Island City,"Long Island City, Queens",4.1 km from center,8.5,Very Good,₪ 867,897 reviews,King Room,,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
OYO Times Square,"Manhattan, New York",1 km from center,6.9,Review score,₪ 510,"1,117 reviews",Standard Full,1 full bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Fairfield Inn & Suites By Marriott New York Manhattan/Times Square,"Hell's Kitchen, New York",1.6 km from center,7.6,Good,₪ 607,"4,558 reviews","Accessible, Guest room, 1 Queen",1 queen bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Shoreham Hotel,"Manhattan, New York",0.8 km from center,7.3,Good,₪ 464,"1,260 reviews",Queen Room,1 queen bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Sixty LES,"Lower East Side, New York",5.2 km from center,7.2,Good,₪ 787,"1,050 reviews",Queen Studio,1 queen bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Hampton Inn Seaport Financial District,"Wall Street - Financial District, New York",6.8 km from center,7.9,Good,₪ 672,"1,257 reviews",King Room,1 king bed,FREE cancellation • No prepayment needed,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
"Staypineapple, An Artful Hotel, Midtown New York","Hell's Kitchen, New York",1.8 km from center,8.7,Excellent,₪ 537,750 reviews,Fashionista King w/ Communication Features,1 king bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Four Points by Sheraton Midtown - Times Square,"Hell's Kitchen, New York",1.6 km from center,7.7,Good,₪ 643,"1,879 reviews",King Room,1 king bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Royalton Park Avenue,"NoMad, New York",2.7 km from center,8.2,Very Good,₪ 870,980 reviews,Superior Queen Room,1 queen bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
The Pearl Hotel,"Manhattan, New York",0.8 km from center,8.6,Excellent,₪ 751,992 reviews,Superior Queen Room,1 queen bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Hampton Inn Times Square Central,"Manhattan, New York",1.5 km from center,8.2,Very Good,₪ 607,"2,267 reviews",King Room,1 king bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Aliz Hotel Times Square,"Hell's Kitchen, New York",1.6 km from center,7.8,Good,₪ 644,"3,630 reviews",King Room,1 king bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
"The Jewel Hotel, New York","Manhattan, New York",1 km from center,8.5,Very Good,₪ 751,"1,679 reviews",Premier Room,1 queen bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
"Club Quarters Hotel World Trade Center, New York","Wall Street - Financial District, New York",7 km from center,8.2,Very Good,₪ 571,"2,698 reviews",Small Queen Room,1 queen bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Hampton Inn Manhattan-35th St Empire State Bldg,"Manhattan, New York",2 km from center,8.3,Very Good,₪ 701,"3,465 reviews",King Room,1 king bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Courtyard by Marriott New York Manhattan / Soho,"SoHo, New York",4.9 km from center,7.9,Good,"₪ 1,003",274 reviews,King Room with Roll-in Shower - Mobility and Hearing Accessible,1 king bed,FREE cancellation • No prepayment needed,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
The Williamsburg Hotel,"Williamsburg, Brooklyn",5.5 km from center,8.0,Very Good,₪ 967,864 reviews,Queen Room,1 queen bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
The Benjamin Royal Sonesta New York,"Midtown East, New York",1.5 km from center,7.6,Good,"₪ 1,075",594 reviews,Queen Room,1 queen bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Leo House,"Chelsea, New York",2.9 km from center,7.8,Good,₪ 543,"2,948 reviews",Double Room with Shared Bathroom,2 twin beds,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Hilton New York Times Square,"Manhattan, New York",1.4 km from center,7.9,Good,₪ 737,97 reviews,King Room,1 king bed,Prepayment,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Yorkville Apartments -Upper East Side,"Upper East Side, New York",2.9 km from center,10,Exceptional,₪ 996,1 review,Studio Apartment (Location Varies),"Entire studio • 1 bathroom • 1 kitchen • 37m²
2 beds (1 sofa bed, 1 queen)",Prepayment,2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Graduate New York,New York,2.6 km from center,8.5,Very Good,"₪ 1,448","2,162 reviews",Graduate King - Accessible,1 king bed,Prepayment,2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Margaritaville Resort Times Square,"Manhattan, New York",1.5 km from center,8.8,Excellent,"₪ 1,471","1,470 reviews",Standard King Room,1 king bed,Prepayment,2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Pod Brooklyn,"Williamsburg, Brooklyn",6.2 km from center,8.2,Very Good,₪ 855,"2,883 reviews",Queen Pod,1 queen bed,Prepayment,2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Pod Times Square,"Hell's Kitchen, New York",1.4 km from center,8.1,Very Good,₪ 783,"13,012 reviews",Bunk Pod,2 twin beds,Prepayment,2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Holland Hotel Free Parking Jersey City,Jersey City,6.5 km from center,8.3,Very Good,₪ 866,965 reviews,Standard Double Room,,Prepayment,2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
The Tillary Hotel Brooklyn,"Downtown Brooklyn, Brooklyn",8 km from center,7.5,Good,"₪ 1,223",224 reviews,Classic King,Multiple bed types,Prepayment,2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Hyatt House Jersey City,Jersey City,7.3 km from center,8.2,Very Good,"₪ 1,514","1,532 reviews",King Room,1 king bed,Prepayment,2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Penny Williamsburg,"Williamsburg, Brooklyn",6.3 km from center,8.8,Excellent,"₪ 1,016",480 reviews,Queen,1 queen bed,Prepayment,2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
The Herald 8 by LuxUrban,"Manhattan, New York",2 km from center,7.8,Good,"₪ 1,209","2,389 reviews",Suite,"Private suite • 1 bedroom • 1 living room • 1 bathroom • 28m²
1 king bed",Free cancellation,2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Sheraton Brooklyn New York,"Downtown Brooklyn, Brooklyn",8.5 km from center,7.1,Good,"₪ 1,114","1,815 reviews","Guest room, 2 Double",2 full beds,Prepayment,2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Sonesta Simply Suites Jersey City,Jersey City,6.8 km from center,8.5,Very Good,"₪ 1,223",656 reviews,Studio Queen Suite with Roll-In Shower - Mobility Accessible,1 queen bed,FREE cancellation • No prepayment needed,2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
The Cloud One New York-Downtown,"Wall Street - Financial District, New York",7 km from center,8.2,Very Good,"₪ 1,251",652 reviews,Standard King Room,1 king bed,Prepayment,2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
The Tuscany Powered by LuxUrban,"Murray Hill, New York",2.1 km from center,7.8,Good,"₪ 1,303",132 reviews,Studio,1 king bed,Free cancellation,2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
City Club Hotel,"Manhattan, New York",1.4 km from center,7.3,Good,₪ 770,"1,266 reviews",Queen Luxe Room,1 queen bed,Prepayment,2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
"The New Yorker, A Wyndham Hotel","Hell's Kitchen, New York",2 km from center,7.7,Good,₪ 999,"9,086 reviews",Standard Queen Room,1 queen bed,Prepayment,2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
"Hotel Shocard Broadway, Times Square","Manhattan, New York",1.5 km from center,7.6,Good,₪ 827,"1,071 reviews",Standard Double Room,1 full bed,Prepayment,2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
The FIDI Hotel,"Wall Street - Financial District, New York",7.6 km from center,8.9,Excellent,"₪ 1,035",23 reviews,Standard Full,1 full bed,Prepayment,2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
West Side YMCA,"Upper West Side, New York",350 m from center,6.6,Review score,₪ 806,"7,615 reviews",Bunk Bed Room with Shared Bathroom,1 bunk bed,Prepayment,2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Hyatt Place New York City/Times Square,"Hell's Kitchen, New York",1.7 km from center,7.6,Good,"₪ 1,330","15,246 reviews",King Room,1 king bed,Prepayment,2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Ravel Hotel Trademark Collection by Wyndham,"Long Island City, Queens",3.2 km from center,7.8,Good,"₪ 1,182","2,903 reviews",Queen Room,1 queen bed,Prepayment,2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
TownePlace Suites by Marriott New York Manhattan/Chelsea,"Chelsea, New York",2.5 km from center,8.1,Very Good,"₪ 1,538","2,466 reviews",King Studio with Kitchenette,"Entire studio • 1 bathroom • 19m²
1 king bed",FREE cancellation • No prepayment needed,2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Hyatt Regency Jersey City,Jersey City,7.1 km from center,8.0,Very Good,"₪ 2,329",889 reviews,Double Room with Two Double Beds,2 full beds,Prepayment,2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
TBA Times Square,"Hell's Kitchen, New York",1.6 km from center,7.5,Good,"₪ 1,126","8,541 reviews",Deluxe Double Room (2 Adults + 1 Child),2 full beds,Prepayment,2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Fairfield Inn by Marriott New York Manhattan/Financial District,"Wall Street - Financial District, New York",7.2 km from center,7.5,Good,₪ 999,"2,300 reviews",King Room,1 king bed,Prepayment,2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
