Name,Rate,Grade,Price,Review,DateOfVacation,SnapShotDate,LengthOfStay,TimeToTravel
Hilton Garden Inn Times Square,8.2,Very good,"€183
€","(1,711 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Aloft Manhattan Downtown - Financial District,8.0,Very good,"€183
€","(1,002 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Hilton Garden Inn NYC Financial Center/Manhattan Downtown,8.8,Excellent,"€206
€","(1,004 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
The Lombardy Hotel,8.8,Excellent,"€278
€","(1,001 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
City Club Hotel,7.8,Good,"€138
€","(1,078 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Four Points by Sheraton Manhattan SoHo Village,8.2,Very good,"€183
€","(1,002 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Fairfield Inn & Suites New York Manhattan / Central Park,8.4,Very good,"€205
€",(999 reviews),2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Hilton Garden Inn New York/Times Square Central,8.2,Very good,"€185
€","(1,012 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Empire Hotel,7.4,Good,"€215
€","(1,329 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
TBA Times Square,7.4,Good,"€167
€",(209 reviews),2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Hyatt Place New York Midtown South,8.6,Excellent,"€229
€","(1,004 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Carnegie Hotel,9.2,Wonderful,"€242
€","(1,002 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Hilton Garden Inn New York Times Square North,8.6,Excellent,"€236
€","(1,010 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
LIC Hotel,8.8,Excellent,"€125
€",(997 reviews),2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Arlo NoMad,8.0,Very good,"€231
€","(1,603 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Omni Berkshire Place,9.0,Wonderful,"€315
€","(1,004 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Casamia 36 Hotel,7.2,Good,"€129
€",(998 reviews),2023-03-27-2023-03-28,2023-03-26,1 night,1.0
The Shelburne Sonesta New York,8.2,Very good,"€215
€","(1,008 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
The Jane Hotel,8.4,Very good,"€153
€","(1,002 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
DoubleTree by Hilton New York Downtown,7.2,Good,"€183
€","(1,189 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Sheraton Tribeca New York Hotel,8.2,Very good,"€220
€","(1,005 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Moxy NYC Chelsea,8.6,Excellent,"€297
€",(988 reviews),2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Hilton Garden Inn Long Island City New York,8.6,Excellent,"€226
€",(999 reviews),2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Hilton New York Times Square,8.2,Very good,"€241
€","(1,014 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Pod 51,7.8,Good,"€151
€","(1,004 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Dream Downtown,7.2,Good,"€237
€","(1,009 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
SpringHill Suites by Marriott New York Midtown Manhattan/Park Avenue,8.8,Excellent,"€215
€",(83 reviews),2023-03-27-2023-03-28,2023-03-26,1 night,1.0
"The Bernic Hotel New York City, Tapestry Collection by Hilton",8.8,Excellent,"€247
€",(999 reviews),2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Kixby,8.8,Excellent,"€255
€","(1,002 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Hilton New York Fashion District,8.0,Very good,"€226
€","(1,003 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Heritage Hotel,7.6,Good,"€151
€","(1,000 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Hyatt Place New York Midtown South,8.6,Excellent,"€534
€","(1,004 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
The Westin New York at Times Square,8.6,Excellent,"€762
€","(2,193 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Radio Hotel,8.8,Excellent,"€251
€",(389 reviews),2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Radio Hotel,8.8,Excellent,"€251
€",(389 reviews),2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Doubletree by Hilton New York Times Square South,8.4,Very good,"€389
€","(2,182 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Truss Hotel Times Square,8.0,Very good,"€367
€",(574 reviews),2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Four Points By Sheraton New York Downtown,7.4,Good,"€303
€","(1,014 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Pod Times Square,8.6,Excellent,"€282
€","(2,808 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Hotel 32 32,8.0,Very good,"€422
€","(1,301 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
The Shoreham Hotel,7.8,Good,"€314
€","(1,007 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Hyatt Place New York City/Times Square,7.8,Good,"€401
€","(1,167 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
The Flat NYC,10.0,Exceptional,"€246
€",(1 review),2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
"PUBLIC, an Ian Schrager hotel",8.0,Very good,"€858
€","(1,485 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
"Club Quarters, Times Square - Midtown",8.4,Very good,"€388
€","(1,787 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
The New Yorker A Wyndham Hotel,8.0,Very good,"€365
€","(2,590 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Paramount Times Square,7.2,Good,"€314
€","(1,026 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Wingate by Wyndham New York Midtown South/5th Ave,8.2,Very good,"€359
€","(1,003 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Park Central Hotel New York,8.0,Very good,"€498
€","(1,859 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
"voco Times Square South, an IHG Hotel",8.4,Very good,"€434
€",(455 reviews),2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
The Belvedere Hotel,8.6,Excellent,"€381
€","(2,288 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Ameritania Hotel at Times Square,8.4,Very good,"€431
€","(1,262 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Ramada by Wyndham New York Times Square West,7.6,Good,"€261
€",(998 reviews),2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Element New York Times Square West,7.8,Good,"€399
€","(1,006 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
citizenM New York Times Square,9.0,Wonderful,"€463
€","(1,237 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Hilton Garden Inn New York/Midtown Park Ave,8.4,Very good,"€390
€","(1,003 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
The Gallivant Times Square,6.6,"(1,860 reviews)","€282
€",Uknown,2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
citizenM New York Bowery,9.2,Wonderful,"€420
€","(1,267 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
World Center Hotel,8.6,Excellent,"€378
€","(1,325 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Latisha luxury place,Uknown,Uknown,"€245
€",Uknown,2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
New York Hilton Midtown,8.0,Very good,"€676
€","(1,005 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
"EVEN Hotel Brooklyn, an IHG Hotel",8.0,Very good,"€345
€","(1,005 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Courtyard by Marriott New York Downtown Manhattan/Financial District,7.6,Good,"€324
€",(414 reviews),2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Fairfield Inn New York Manhattan/Financial District,8.0,Very good,"€303
€","(1,001 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
"Club Quarters Hotel, Grand Central",8.2,Very good,"€442
€","(1,165 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
"Club Quarters Hotel, World Trade Center",8.6,Excellent,"€399
€","(1,118 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
M Social Hotel Times Square New York,8.8,Excellent,"€511
€","(2,914 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Hampton Inn Manhattan/Times Square Central,8.6,Excellent,"€417
€","(1,338 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Hilton Garden Inn NYC Financial Center/Manhattan Downtown,8.8,Excellent,"€418
€","(1,004 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
INNSiDE by Meliá New York Nomad,8.8,Excellent,"€476
€","(1,377 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Millennium Hotel Broadway Times Square,7.0,Good,"€406
€","(6,102 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
The Shelburne Sonesta New York,8.2,Very good,"€448
€","(1,008 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
TBA Times Square,7.4,Good,"€321
€",(209 reviews),2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Arlo Midtown,9.2,Wonderful,"€601
€","(3,240 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
"The Jewel, a Club Quarters Hotel, Opposite Rockefeller Center",9.2,Wonderful,"€463
€","(1,259 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Hilton Garden Inn New York/Central Park South-Midtown West,7.4,Good,"€447
€","(1,038 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Dream Midtown,8.0,Very good,"€417
€","(1,003 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Four Points by Sheraton Manhattan - Chelsea,7.6,Good,"€350
€","(1,005 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Hotel Boutique at Grand Central,8.4,Very good,"€442
€","(1,003 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
"EVEN Midtown East Grand Central, an IHG Hotel",8.8,Excellent,"€556
€","(1,006 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
33 Seaport Hotel New York,8.8,Excellent,"€846
€",(303 reviews),2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Pod 39,8.4,Very good,"€346
€","(1,005 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Executive Hotel Le Soleil New York,8.6,Excellent,"€448
€","(1,799 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Moxy NYC Times Square,8.4,Very good,"€593
€","(1,128 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
The Lombardy Hotel,8.8,Excellent,"€626
€","(1,001 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
City Club Hotel,7.8,Good,"€275
€","(1,078 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
"Staypineapple, An Artful Hotel, Midtown",9.0,Wonderful,"€343
€",(951 reviews),2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Heritage Hotel,7.6,Good,"€247
€","(1,000 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Moxy NYC Chelsea,8.6,Excellent,"€668
€",(988 reviews),2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Hilton Garden Inn Long Island City New York,8.6,Excellent,"€452
€",(999 reviews),2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Hotel Edison Times Square,7.8,Good,"€463
€","(2,726 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
The Jane Hotel,8.4,Very good,"€296
€","(1,002 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Hyatt Place New York Midtown South,8.6,Excellent,"€534
€","(1,004 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Warwick New York,8.0,Very good,"€494
€","(1,216 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
The Cloud One New York-Downtown,8.4,Very good,"€378
€",(99 reviews),2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Hilton Garden Inn New York/West 35th Street,9.0,Wonderful,"€580
€","(1,021 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Chelsea Savoy Hotel,8.6,Excellent,"€431
€","(1,036 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
"InterContinental New York Times Square, an IHG Hotel",8.2,Very good,"€637
€","(1,037 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Archer Hotel New York,9.0,Wonderful,"€648
€","(1,006 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Hilton New York Times Square,8.2,Very good,"€510
€","(1,014 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Walker Hotel Tribeca,8.6,Excellent,"€480
€",(381 reviews),2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Kasa The Duffy Times Square,9.0,Wonderful,"€327
€",(445 reviews),2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Freehand New York,8.2,Very good,"€464
€","(1,006 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Hudson River Hotel,7.0,Good,"€280
€","(1,000 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
The Time New York,8.0,Very good,"€447
€","(1,007 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Soho Grand Hotel,8.8,Excellent,"€752
€","(1,001 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Fitzpatrick Manhattan Hotel,9.0,Wonderful,"€461
€","(1,000 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Kixby,8.8,Excellent,"€573
€","(1,002 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Four Points by Sheraton Midtown-Times Square,8.4,Very good,"€463
€","(1,005 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
The Pearl New York,9.2,Wonderful,"€516
€","(1,004 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Hampton Inn Manhattan-Times Square North,8.4,Very good,"€442
€","(1,747 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Hilton Garden Inn Times Square,8.2,Very good,"€442
€","(1,711 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
DoubleTree by Hilton New York Downtown,7.2,Good,"€388
€","(1,189 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
"The Chatwal, In The Unbound Collection By Hyatt",9.4,Exceptional,"€1,102",(448 reviews),2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Hotel Riu Plaza New York Times Square,8.8,Excellent,"€535
€","(3,193 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Fairfield Inn by Marriott New York Manhattan/Times Square,8.0,Very good,"€506
€","(1,003 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
"Holiday Inn Express Manhattan Times Square South, an IHG Hotel",8.0,Very good,"€431
€","(1,001 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Hilton Garden Inn New York Times Square North,8.6,Excellent,"€553
€","(1,010 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Hyatt Place New York/Chelsea,8.2,Very good,"€410
€",(560 reviews),2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
"Crowne Plaza JFK Airport New York City, an IHG Hotel",6.8,"(1,921 reviews)","€435
€",Uknown,2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Hyatt Herald Square New York,8.2,Very good,"€636
€","(1,002 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Millennium Downtown New York,7.4,Good,"€454
€","(2,559 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
The Lucerne Hotel,9.0,Wonderful,"€504
€","(1,009 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Hotel 32 32,8.0,Very good,"€422
€","(1,301 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Fitzpatrick Grand Central,9.0,Wonderful,"€471
€","(1,000 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Omni Berkshire Place,9.0,Wonderful,"€726
€","(1,004 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Radio City Apartments,8.6,Excellent,"€418
€","(2,910 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
The Manhattan Club,8.6,Excellent,"€523
€","(1,004 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Pod 51,7.8,Good,"€324
€","(1,004 reviews)",2023-03-27-2023-03-29,2023-03-26,2 nights,1.0
Hyatt Place New York Midtown South,8.6,Excellent,"€732
€","(1,004 reviews)",2023-03-27-2023-03-30,2023-03-26,3 nights,1.0
Radio Hotel,8.8,Excellent,"€377
€",(389 reviews),2023-03-27-2023-03-30,2023-03-26,3 nights,1.0
Hyatt Herald Square New York,8.2,Very good,"€778
€","(1,002 reviews)",2023-03-27-2023-03-30,2023-03-26,3 nights,1.0
Pod Times Square,8.6,Excellent,"€422
€","(2,808 reviews)",2023-03-27-2023-03-30,2023-03-26,3 nights,1.0
"Club Quarters, Times Square - Midtown",8.4,Very good,"€564
€","(1,787 reviews)",2023-03-27-2023-03-30,2023-03-26,3 nights,1.0
Radio Hotel,8.8,Excellent,"€377
€",(389 reviews),2023-03-27-2023-03-30,2023-03-26,3 nights,1.0
The New Yorker A Wyndham Hotel,8.0,Very good,"€490
€","(2,590 reviews)",2023-03-27-2023-03-30,2023-03-26,3 nights,1.0
