Name,Rate,Grade,Price,Review,DateOfVacation,SnapShotDate,LengthOfStay,TimeToTravel
Hyatt Place New York Midtown South,8.6,Excellent,"€229
€","(1,004 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Hotel 32 32,8.0,Very good,"€198
€","(1,301 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
The Westin New York at Times Square,8.6,Excellent,"€354
€","(2,193 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Doubletree by Hilton New York Times Square South,8.4,Very good,"€171
€","(2,182 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
The Shoreham Hotel,7.8,Good,"€138
€","(1,007 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Pod Times Square,8.6,Excellent,"€141
€","(2,808 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Truss Hotel Times Square,8.0,Very good,"€184
€",(574 reviews),2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Artezen Hotel,9.4,Exceptional,"€171
€","(1,366 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Radio Hotel,8.8,Excellent,"€133
€",(389 reviews),2023-03-27-2023-03-28,2023-03-26,1 night,1.0
"Club Quarters, Times Square - Midtown",8.4,Very good,"€183
€","(1,787 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
"PUBLIC, an Ian Schrager hotel",8.0,Very good,"€413
€","(1,485 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Courtyard by Marriott New York Downtown Manhattan/Financial District,7.6,Good,"€130
€",(414 reviews),2023-03-27-2023-03-28,2023-03-26,1 night,1.0
The New Yorker A Wyndham Hotel,8.0,Very good,"€172
€","(2,590 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
The Flat NYC,10.0,Exceptional,"€123
€",(1 review),2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Hampton Inn Manhattan/Times Square Central,8.6,Excellent,"€165
€","(1,338 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
The Belvedere Hotel,8.6,Excellent,"€164
€","(2,288 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Radio Hotel,8.8,Excellent,"€133
€",(389 reviews),2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Wingate by Wyndham New York Midtown South/5th Ave,8.2,Very good,"€174
€","(1,003 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
"Club Quarters Hotel, World Trade Center",8.6,Excellent,"€183
€","(1,118 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
"Club Quarters Hotel, Grand Central",8.2,Very good,"€205
€","(1,165 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Hotel St. James,8.4,Very good,"€184
€","(1,773 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Ameritania Hotel at Times Square,8.4,Very good,"€183
€","(1,262 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Fairfield Inn New York Manhattan/Financial District,8.0,Very good,"€141
€","(1,001 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Hilton Garden Inn New York/Midtown Park Ave,8.4,Very good,"€174
€","(1,003 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Hyatt Place New York City/Times Square,7.8,Good,"€194
€","(1,167 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
World Center Hotel,8.6,Excellent,"€173
€","(1,325 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Ramada by Wyndham New York Times Square West,7.6,Good,"€130
€",(998 reviews),2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Element New York Times Square West,7.8,Good,"€183
€","(1,006 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Sleep INN,Uknown,Uknown,"€144
€",Uknown,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
"EVEN Midtown East Grand Central, an IHG Hotel",8.8,Excellent,"€241
€","(1,006 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
"EVEN Hotel Brooklyn, an IHG Hotel",8.0,Very good,"€173
€","(1,005 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
The Maritime Hotel,9.4,Exceptional,"€236
€","(1,004 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Paramount Times Square,7.2,Good,"€158
€","(1,026 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Fairfield Inn by Marriott New York Manhattan/Times Square,8.0,Very good,"€183
€","(1,003 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Hampton Inn Manhattan-Times Square North,8.4,Very good,"€152
€","(1,747 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Broadway Plaza Hotel,8.8,Excellent,"€195
€","(1,155 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Four Points by Sheraton Manhattan - Chelsea,7.6,Good,"€146
€","(1,005 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Executive Hotel Le Soleil New York,8.6,Excellent,"€208
€","(1,799 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
citizenM New York Times Square,9.0,Wonderful,"€215
€","(1,237 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Soho Grand Hotel,8.8,Excellent,"€291
€","(1,001 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
The Gallivant Times Square,6.6,"(1,860 reviews)","€136
€",Uknown,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
INNSiDE by Meliá New York Nomad,8.8,Excellent,"€213
€","(1,377 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
citizenM New York Bowery,9.2,Wonderful,"€205
€","(1,267 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Hilton Garden Inn New York/Central Park South-Midtown West,7.4,Good,"€221
€","(1,038 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Millennium Downtown New York,7.4,Good,"€193
€","(2,559 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Hotel Boutique at Grand Central,8.4,Very good,"€205
€","(1,003 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
"The Jewel, a Club Quarters Hotel, Opposite Rockefeller Center",9.2,Wonderful,"€226
€","(1,259 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Four Points by Sheraton Midtown-Times Square,8.4,Very good,"€194
€","(1,005 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
33 Seaport Hotel New York,8.8,Excellent,"€391
€",(303 reviews),2023-03-27-2023-03-28,2023-03-26,1 night,1.0
"Crowne Plaza JFK Airport New York City, an IHG Hotel",6.8,"(1,921 reviews)","€217
€",Uknown,2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Millennium Hotel Broadway Times Square,7.0,Good,"€189
€","(6,102 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Park Central Hotel New York,8.0,Very good,"€244
€","(1,859 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Hilton Garden Inn New York/West 35th Street,9.0,Wonderful,"€237
€","(1,021 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
The Wall Street Inn,8.8,Excellent,"€183
€","(1,001 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Walker Hotel Tribeca,8.6,Excellent,"€205
€",(381 reviews),2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Hotel Edison Times Square,7.8,Good,"€193
€","(2,726 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Arlo Midtown,9.2,Wonderful,"€274
€","(3,240 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
New York Hilton Midtown,8.0,Very good,"€322
€","(1,005 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Hyatt Herald Square New York,8.2,Very good,"€269
€","(1,002 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Fairfield Inn & Suites New York Midtown Manhattan/Penn Station,8.6,Excellent,"€217
€","(1,237 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Pod 39,8.4,Very good,"€173
€","(1,005 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
"Blue Angel Hotel NYC, Ascend Hotel Collection",8.6,Excellent,"€156
€",(860 reviews),2023-03-27-2023-03-28,2023-03-26,1 night,1.0
DoubleTree by Hilton New York City - Chelsea,7.6,Good,"€194
€","(1,003 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Fitzpatrick Grand Central,9.0,Wonderful,"€214
€","(1,000 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Freehand New York,8.2,Very good,"€211
€","(1,006 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
Hotel 32 32,8.0,Very good,"€198
€","(1,301 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
M Social Hotel Times Square New York,8.8,Excellent,"€241
€","(2,914 reviews)",2023-03-27-2023-03-28,2023-03-26,1 night,1.0
