Name,Rate,Grade,Price,Review,DateOfVacation,SnapShotDate,LengthOfStay,TimeToTravel
The Maritime Hotel,9.4,Exceptional,"€311
€","(1,001 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Omni Berkshire Place,9.0,Wonderful,"€320
€","(1,002 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Moxy NYC Times Square,8.4,Very good,"€307
€","(1,119 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
"Hotel Indigo Flushing, an IHG Hotel",8.2,Very good,"€206
€",(136 reviews),2023-03-23-2023-03-24,2023-03-22,1 night,1.0
"Crowne Plaza HY36 Midtown Manhattan, an IHG Hotel",9.0,Wonderful,"€352
€","(1,003 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Ramada by Wyndham New York Times Square West,7.6,Good,"€164
€",(998 reviews),2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Courtyard by Marriott New York Downtown Manhattan/Financial District,7.6,Good,"€194
€",(412 reviews),2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Hilton Garden Inn Times Square,8.2,Very good,"€205
€","(1,703 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
1 Hotel Central Park,9.0,Wonderful,"€513
€","(1,001 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
The Gallivant Times Square,6.6,"(1,847 reviews)","€178
€",Uknown,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Doubletree by Hilton New York Times Square South,8.4,Very good,"€258
€","(2,170 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
LIC Hotel,8.8,Excellent,"€139
€",(997 reviews),2023-03-23-2023-03-24,2023-03-22,1 night,1.0
"Hotel Indigo Lower East Side New York, an IHG Hotel",8.0,Very good,"€298
€","(1,001 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
"Holiday Inn Express Maspeth, an IHG Hotel",8.2,Very good,"€201
€",(997 reviews),2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Chelsea Savoy Hotel,8.6,Excellent,"€215
€","(1,026 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Radio Hotel,8.8,Excellent,"€174
€",(385 reviews),2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Arlo Midtown,9.2,Wonderful,"€327
€","(3,230 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
M Social Hotel Times Square New York,8.8,Excellent,"€279
€","(2,898 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Hyatt Place New York Midtown South,8.6,Excellent,"€232
€","(1,000 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
AC Hotel by Marriott New York Downtown,9.0,Wonderful,"€215
€",(955 reviews),2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Hampton Inn Manhattan-Times Square North,8.4,Very good,"€205
€","(1,739 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
"Blue Angel Hotel NYC, Ascend Hotel Collection",8.6,Excellent,"€176
€",(859 reviews),2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Fairfield Inn by Marriott New York Manhattan/Fifth Avenue,8.4,Very good,"€215
€",(997 reviews),2023-03-23-2023-03-24,2023-03-22,1 night,1.0
"Club Quarters Hotel, Grand Central",8.2,Very good,"€279
€","(1,163 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Broadway Plaza Hotel,8.8,Excellent,"€272
€","(1,148 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
The Marlton Hotel,9.0,Wonderful,"€332
€","(1,001 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Freehand New York,8.2,Very good,"€254
€","(1,001 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
The Lombardy Hotel,8.8,Excellent,"€335
€","(1,001 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
SpringHill Suites by Marriott New York Midtown Manhattan/Park Avenue,8.8,Excellent,"€237
€",(83 reviews),2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Sofitel New York,8.8,Excellent,"€363
€","(1,001 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Four Points By Sheraton Manhattan Midtown West,8.6,Excellent,"€243
€","(1,000 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Refinery Hotel,8.8,Excellent,"€342
€","(1,002 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Wingate by Wyndham New York Midtown South/5th Ave,8.2,Very good,"€265
€","(1,001 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
"Club Quarters, Times Square - Midtown",8.4,Very good,"€279
€","(1,778 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Courtyard New York Manhattan/ Midtown East,8.6,Excellent,"€320
€","(1,299 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
"Holiday Inn Manhattan 6th Ave - Chelsea, an IHG Hotel",7.2,Good,"€217
€","(1,001 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
TBA Times Square,7.4,Good,"€195
€",(206 reviews),2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Kixby,8.8,Excellent,"€300
€","(1,000 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Radio City Apartments,8.6,Excellent,"€205
€","(2,906 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
The Manhattan at Times Square Hotel,5.6,"(2,652 reviews)","€142
€",Uknown,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Citadines Connect Fifth Avenue New York,7.8,Good,"€246
€","(1,004 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Trump International Hotel & Tower New York,9.2,Wonderful,"€641
€","(1,000 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Carnegie Hotel,9.2,Wonderful,"€285
€","(1,000 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
"InterContinental New York Barclay, an IHG Hotel",8.6,Excellent,"€408
€","(1,002 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
The Westin New York at Times Square,8.6,Excellent,"€450
€","(2,183 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Courtyard by Marriott New York Manhattan / Central Park,8.6,Excellent,"€301
€",(999 reviews),2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Leon Hotel LES,8.4,Very good,"€156
€","(1,001 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Courtyard by Marriott New York World Trade Center Area,8.0,Very good,"€205
€",(50 reviews),2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Courtyard by Marriott New York Manhattan/SoHo,8.8,Excellent,"€226
€",(815 reviews),2023-03-23-2023-03-24,2023-03-22,1 night,1.0
St Marks Hotel,6.2,(945 reviews),"€111
€",Uknown,2023-03-23-2023-03-24,2023-03-22,1 night,1.0
The Shelburne Sonesta New York,8.2,Very good,"€259
€","(1,004 reviews)",2023-03-23-2023-03-24,2023-03-22,1 night,1.0
The Moore,9.2,Wonderful,"€258
€",(86 reviews),2023-03-23-2023-03-24,2023-03-22,1 night,1.0
Sonesta Simply Suites Jersey City,8.4,Very good,"€422
€",(999 reviews),2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
"EVEN Midtown East Grand Central, an IHG Hotel",8.6,Excellent,"€481
€","(1,003 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
"InterContinental New York Barclay, an IHG Hotel",8.6,Excellent,"€689
€","(1,002 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
"PUBLIC, an Ian Schrager hotel",8.0,Very good,"€867
€","(1,477 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Fairfield Inn by Marriott New York Manhattan/Times Square,8.0,Very good,"€409
€",(998 reviews),2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
The Shoreham Hotel,7.8,Good,"€352
€",(999 reviews),2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Courtyard New York Manhattan/Times Square West,8.8,Excellent,"€494
€","(1,001 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Moxy NYC Times Square,8.4,Very good,"€540
€","(1,119 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
The Westin New York at Times Square,8.6,Excellent,"€846
€","(2,183 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Truss Hotel Times Square,8.0,Very good,"€467
€",(562 reviews),2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Pod Times Square,8.6,Excellent,"€388
€","(2,799 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Hilton Garden Inn NYC Financial Center/Manhattan Downtown,8.8,Excellent,"€411
€","(1,001 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Archer Hotel New York,9.0,Wonderful,"€599
€","(1,002 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Walker Hotel Tribeca,8.6,Excellent,"€475
€",(379 reviews),2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
The Lombardy Hotel,8.8,Excellent,"€577
€","(1,001 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Park Central Hotel New York,8.0,Very good,"€594
€","(1,850 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Hampton Inn Manhattan/Times Square Central,8.6,Excellent,"€436
€","(1,337 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Radio Hotel,8.8,Excellent,"€355
€",(385 reviews),2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Hyatt Place New York Midtown South,8.6,Excellent,"€484
€","(1,000 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Dream Downtown,7.2,Good,"€438
€","(1,002 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Hilton Garden Inn New York/West 35th Street,9.0,Wonderful,"€556
€","(1,014 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
The Shelburne Sonesta New York,8.2,Very good,"€500
€","(1,004 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
"Club Quarters Hotel, World Trade Center",8.6,Excellent,"€431
€","(1,111 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Park Terrace Hotel,9.2,Wonderful,"€676
€","(1,001 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Paramount Times Square,7.2,Good,"€354
€","(1,005 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Soho Grand Hotel,8.8,Excellent,"€734
€","(1,000 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
The Belvedere Hotel,8.6,Excellent,"€456
€","(2,279 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Courtyard New York Manhattan/ Midtown East,8.6,Excellent,"€551
€","(1,299 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Royal Hotel Bronx,Uknown,Uknown,"€217
€",Uknown,2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Sofitel New York,8.8,Excellent,"€666
€","(1,001 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
"Crowne Plaza HY36 Midtown Manhattan, an IHG Hotel",9.0,Wonderful,"€703
€","(1,003 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
citizenM New York Times Square,9.0,Wonderful,"€548
€","(1,236 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Omni Berkshire Place,9.0,Wonderful,"€635
€","(1,002 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Hyatt Place New York City/Times Square,7.8,Good,"€537
€","(1,159 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
The Westin New York Grand Central,8.6,Excellent,"€597
€","(1,223 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
citizenM New York Bowery,9.2,Wonderful,"€580
€","(1,263 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
World Center Hotel,8.6,Excellent,"€431
€","(1,317 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
INNSiDE by Meliá New York Nomad,8.8,Excellent,"€552
€","(1,371 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Sheraton Tribeca New York Hotel,8.2,Very good,"€431
€","(1,003 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
The Standard High Line,8.4,Very good,"€752
€",(783 reviews),2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
"The Langham, New York, Fifth Avenue",9.4,Exceptional,"€1,151","(1,001 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Sofitel New York,8.8,Excellent,"€666
€","(1,001 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Artezen Hotel,9.4,Exceptional,"€495
€","(1,362 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Arlo Midtown,9.2,Wonderful,"€675
€","(3,230 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Kixby,8.8,Excellent,"€600
€","(1,000 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
M Social Hotel Times Square New York,8.8,Excellent,"€616
€","(2,898 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Aloft Manhattan Downtown - Financial District,8.0,Very good,"€388
€",(999 reviews),2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
DoubleTree by Hilton New York Downtown,7.2,Good,"€409
€","(1,186 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Sheraton LaGuardia East Hotel,7.8,Good,"€431
€",(684 reviews),2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
"Hotel Indigo Flushing, an IHG Hotel",8.2,Very good,"€424
€",(136 reviews),2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Hilton Garden Inn New York/Central Park South-Midtown West,7.4,Good,"€509
€","(1,037 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Ameritania Hotel at Times Square,8.4,Very good,"€558
€","(1,240 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Comfort Inn Manhattan - Midtown West,7.4,Good,"€434
€","(1,000 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
"Holiday Inn New York City - Times Square, an IHG Hotel",7.8,Good,"€392
€","(1,113 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Fairfield Inn by Marriott New York Manhattan/Fifth Avenue,8.4,Very good,"€452
€",(997 reviews),2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
The Time New York,8.0,Very good,"€499
€","(1,001 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
Courtyard by Marriott New York Manhattan / Central Park,8.6,Excellent,"€590
€",(999 reviews),2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
"Holiday Inn Express & Suites Woodside Queens NYC, an IHG Hotel",9.0,Wonderful,"€434
€",(223 reviews),2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
"Holiday Inn Brooklyn Downtown, an IHG Hotel",7.0,Good,"€413
€","(1,001 reviews)",2023-03-23-2023-03-25,2023-03-22,2 nights,1.0
